model,split,seed,n_rows,accuracy,precision_smishing,recall_smishing,f1_smishing,false_negative_rate,false_positive_rate,tp,tn,fp,fn,support_ham,support_smishing,threshold
tfidf_ablation_a,test_clean,42,1582,0.9791403286978508,0.985897435897436,0.9721871049304678,0.9789942711648632,0.02781289506953224,0.01390644753476612,769,780,11,22,791,791,0.5
tfidf_ablation_a,test_adv_10,42,1582,0.9456384323640961,0.984869325997249,0.9051833122629582,0.9433465085638999,0.09481668773704172,0.01390644753476612,716,780,11,75,791,791,0.5
tfidf_ablation_a,test_adv_20,42,1582,0.9348925410872313,0.9845070422535211,0.8836915297092288,0.9313790806129247,0.11630847029077118,0.01390644753476612,699,780,11,92,791,791,0.5
tfidf_ablation_a,test_adv_30,42,1582,0.9190897597977244,0.983941605839416,0.8520859671302149,0.9132791327913279,0.14791403286978508,0.01390644753476612,674,780,11,117,791,791,0.5
tfidf_ablation_a,test_clean,7,1582,0.9791403286978508,0.985897435897436,0.9721871049304678,0.9789942711648632,0.02781289506953224,0.01390644753476612,769,780,11,22,791,791,0.5
tfidf_ablation_a,test_adv_10,7,1582,0.9456384323640961,0.984869325997249,0.9051833122629582,0.9433465085638999,0.09481668773704172,0.01390644753476612,716,780,11,75,791,791,0.5
tfidf_ablation_a,test_adv_20,7,1582,0.9348925410872313,0.9845070422535211,0.8836915297092288,0.9313790806129247,0.11630847029077118,0.01390644753476612,699,780,11,92,791,791,0.5
tfidf_ablation_a,test_adv_30,7,1582,0.9190897597977244,0.983941605839416,0.8520859671302149,0.9132791327913279,0.14791403286978508,0.01390644753476612,674,780,11,117,791,791,0.5
tfidf_ablation_a,test_clean,123,1582,0.9791403286978508,0.985897435897436,0.9721871049304678,0.9789942711648632,0.02781289506953224,0.01390644753476612,769,780,11,22,791,791,0.5
tfidf_ablation_a,test_adv_10,123,1582,0.9456384323640961,0.984869325997249,0.9051833122629582,0.9433465085638999,0.09481668773704172,0.01390644753476612,716,780,11,75,791,791,0.5
tfidf_ablation_a,test_adv_20,123,1582,0.9348925410872313,0.9845070422535211,0.8836915297092288,0.9313790806129247,0.11630847029077118,0.01390644753476612,699,780,11,92,791,791,0.5
tfidf_ablation_a,test_adv_30,123,1582,0.9190897597977244,0.983941605839416,0.8520859671302149,0.9132791327913279,0.14791403286978508,0.01390644753476612,674,780,11,117,791,791,0.5
