split,feature,min,max,mean,std
train_clean,G1_URL_Signals,0.0,1.0,0.3894929047457355,0.4838556487714452
train_clean,G2_OTP_Numeric_Density,0.0,0.4429166666666667,0.060229632287944077,0.08116296361804844
train_clean,G3_Obfuscation,0.0,1.0,0.8017824657173815,0.3307723511539971
train_clean,G4_Urgency_Threat_Cues,0.0,1.0,0.16800768022963314,0.32073014671998645
train_clean,G5_Action_Directives,0.0,1.0,0.3548752225535525,0.3930062842756118
train_clean,G6_Financial_Terms,0.0,1.0,0.2550388596039012,0.3806117468471367
train_clean,G7_Auth_Secrets_Request,0.0,1.0,0.03268357829123818,0.17202339704440953
train_clean,G8_Brand_Impersonation,0.0,1.0,0.14491741014768364,0.30549228768372144
val_clean,G1_URL_Signals,0.0,1.0,0.39302798803271083,0.4845750057071537
val_clean,G2_OTP_Numeric_Density,0.0,0.36493055555555554,0.05653008439857094,0.07765768201239978
val_clean,G3_Obfuscation,0.0,1.0,0.7926396905619432,0.3282919928579004
val_clean,G4_Urgency_Threat_Cues,0.0,1.0,0.17087002073228127,0.32665123132308577
val_clean,G5_Action_Directives,0.0,1.0,0.34467063959329397,0.3920233486488176
val_clean,G6_Financial_Terms,0.0,1.0,0.237203478955481,0.376452040277629
val_clean,G7_Auth_Secrets_Request,0.0,1.0,0.025355582844182472,0.15111434988407593
val_clean,G8_Brand_Impersonation,0.0,1.0,0.1267107451843768,0.2840881403877049
test_clean,G1_URL_Signals,0.0,1.0,0.38040870332106513,0.4821353396590466
test_clean,G2_OTP_Numeric_Density,0.0,0.5216666666666667,0.05509631254018685,0.07846529680277484
test_clean,G3_Obfuscation,0.0,1.0,0.8063023655544775,0.3283824532262581
test_clean,G4_Urgency_Threat_Cues,0.0,1.0,0.17368305124551417,0.3221923029140053
test_clean,G5_Action_Directives,0.0,1.0,0.34628639144008194,0.3949081746142235
test_clean,G6_Financial_Terms,0.0,1.0,0.26406532556489914,0.39019665037512263
test_clean,G7_Auth_Secrets_Request,0.0,1.0,0.024559583573994483,0.1494440678698772
test_clean,G8_Brand_Impersonation,0.0,1.0,0.13761703149414162,0.2956282779645728
val_adv_10,G1_URL_Signals,0.0,1.0,0.3581110303929013,0.47355683789442066
val_adv_10,G2_OTP_Numeric_Density,0.0,0.38345776031434187,0.05731313078094273,0.07767111726776846
val_adv_10,G3_Obfuscation,0.0,1.0,0.8091776058663248,0.3237532266543822
val_adv_10,G4_Urgency_Threat_Cues,0.0,1.0,0.15165897194166136,0.3050503617440706
val_adv_10,G5_Action_Directives,0.0,1.0,0.3364907583678612,0.38634054275319984
val_adv_10,G6_Financial_Terms,0.0,1.0,0.21625320264676046,0.35494907417588756
val_adv_10,G7_Auth_Secrets_Request,0.0,1.0,0.023475796800201412,0.14516982957733773
val_adv_10,G8_Brand_Impersonation,0.0,1.0,0.12170495308542995,0.2768458091076494
val_adv_20,G1_URL_Signals,0.0,1.0,0.3428079823188489,0.46739732116695676
val_adv_20,G2_OTP_Numeric_Density,0.0,0.3735679611650486,0.060213165905922905,0.07803330705731644
val_adv_20,G3_Obfuscation,0.0,1.0,0.826725397973608,0.3237374107545133
val_adv_20,G4_Urgency_Threat_Cues,0.0,1.0,0.1334245573094787,0.2851346742890078
val_adv_20,G5_Action_Directives,0.0,1.0,0.30875212261849794,0.3707049243831142
val_adv_20,G6_Financial_Terms,0.0,1.0,0.18631914517396592,0.3309847591376384
val_adv_20,G7_Auth_Secrets_Request,0.0,1.0,0.020326535430759355,0.1344738881375416
val_adv_20,G8_Brand_Impersonation,0.0,1.0,0.11737823949152729,0.2697920237427921
val_adv_30,G1_URL_Signals,0.0,1.0,0.3500179355814866,0.4699808039673975
val_adv_30,G2_OTP_Numeric_Density,0.0,0.5083333333333334,0.08014197664715023,0.08441990100435817
val_adv_30,G3_Obfuscation,0.0,1.0,0.8343867424433995,0.32499522413023585
val_adv_30,G4_Urgency_Threat_Cues,0.0,1.0,0.11413612091495604,0.2691699030611261
val_adv_30,G5_Action_Directives,0.0,1.0,0.2258773967704104,0.3353271700604251
val_adv_30,G6_Financial_Terms,0.0,1.0,0.15325549900187935,0.3017465815909225
val_adv_30,G7_Auth_Secrets_Request,0.0,1.0,0.02148285825729193,0.13838163276237958
val_adv_30,G8_Brand_Impersonation,0.0,1.0,0.10964544147531582,0.25768818236162827
test_adv_10,G1_URL_Signals,0.0,1.0,0.35760962593744855,0.4746445617039582
test_adv_10,G2_OTP_Numeric_Density,0.0,0.5216666666666667,0.05548531501720023,0.07856272191700718
test_adv_10,G3_Obfuscation,0.0,1.0,0.8239780876763633,0.3199164653038208
test_adv_10,G4_Urgency_Threat_Cues,0.0,1.0,0.1561062902872923,0.3033295577665994
test_adv_10,G5_Action_Directives,0.0,1.0,0.33902078011866477,0.39246123133495325
test_adv_10,G6_Financial_Terms,0.0,1.0,0.22936292457349491,0.3607005921148176
test_adv_10,G7_Auth_Secrets_Request,0.0,1.0,0.02268186378016442,0.1434021238034081
test_adv_10,G8_Brand_Impersonation,0.0,1.0,0.13245839175649854,0.2886623902033896
test_adv_20,G1_URL_Signals,0.0,1.0,0.33349261225201465,0.46534862500866564
test_adv_20,G2_OTP_Numeric_Density,0.0,0.5216666666666667,0.05940297251925555,0.07836426000977474
test_adv_20,G3_Obfuscation,0.0,1.0,0.8372657776442582,0.32045332986279595
test_adv_20,G4_Urgency_Threat_Cues,0.0,1.0,0.14221440630386645,0.2892697134725369
test_adv_20,G5_Action_Directives,0.0,1.0,0.3131303962454711,0.3784655925165358
test_adv_20,G6_Financial_Terms,0.0,1.0,0.19575266524079274,0.33762992597397284
test_adv_20,G7_Auth_Secrets_Request,0.0,1.0,0.020653655137141635,0.13614721941389343
test_adv_20,G8_Brand_Impersonation,0.0,1.0,0.12837676728332817,0.2814010992841027
test_adv_30,G1_URL_Signals,0.0,1.0,0.30730232625224835,0.45361228006751786
test_adv_30,G2_OTP_Numeric_Density,0.0,0.5216666666666667,0.06226833286926994,0.07809252916889908
test_adv_30,G3_Obfuscation,0.0,1.0,0.8438880141246358,0.3213011739767399
test_adv_30,G4_Urgency_Threat_Cues,0.0,1.0,0.11899212037294739,0.2653744551971187
test_adv_30,G5_Action_Directives,0.0,1.0,0.27714663148393437,0.36008941179133486
test_adv_30,G6_Financial_Terms,0.0,1.0,0.1686503483825938,0.31329036107916575
test_adv_30,G7_Auth_Secrets_Request,0.0,1.0,0.020782293204340153,0.1370009374226512
test_adv_30,G8_Brand_Impersonation,0.0,1.0,0.11965427702426121,0.27050112418239664
