original_path,new_path,action,file_size_bytes,sha256_before,sha256_after,status,notes
data/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1903.jpg,data/00_raw_sources/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1903.jpg,copied,57574,e39422c35528d62106687b2ef16578225092ae8c918e481cae17440fd7b015a1,e39422c35528d62106687b2ef16578225092ae8c918e481cae17440fd7b015a1,ok,
data/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1904(1).jpg,data/00_raw_sources/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1904(1).jpg,copied,187480,6b6cf62f337e20ffd349e586c7f08f829c7e9e21de2106725095aa670e4a27fe,6b6cf62f337e20ffd349e586c7f08f829c7e9e21de2106725095aa670e4a27fe,ok,
data/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1904.jpg,data/00_raw_sources/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1904.jpg,copied,155034,2c430a0453e78c3162f726502e49431f9774a8e01f145b7eda259c7abb171113,2c430a0453e78c3162f726502e49431f9774a8e01f145b7eda259c7abb171113,ok,
data/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1905(1).jpg,data/00_raw_sources/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1905(1).jpg,copied,115991,65de31b35ebe519d01a797d58b7acff07a8c3755dd7d80dc5314a4beea3e0680,65de31b35ebe519d01a797d58b7acff07a8c3755dd7d80dc5314a4beea3e0680,ok,
data/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1905.jpg,data/00_raw_sources/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1905.jpg,copied,147917,d1781c651601da3c98c4a47e3ace7c891745da3f8a262d7d39d6dfb3bd5a24a1,d1781c651601da3c98c4a47e3ace7c891745da3f8a262d7d39d6dfb3bd5a24a1,ok,
data/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1906(1).jpg,data/00_raw_sources/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1906(1).jpg,copied,190121,60f76c5b30b368d940c5349393af3ca8c5a36d85f545a247ca040af615a20577,60f76c5b30b368d940c5349393af3ca8c5a36d85f545a247ca040af615a20577,ok,
data/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1906.jpg,data/00_raw_sources/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1906.jpg,copied,203304,7ef675313b59e43941fc21fb1f9129d1c580ebe161f85480cd34206edd394476,7ef675313b59e43941fc21fb1f9129d1c580ebe161f85480cd34206edd394476,ok,
data/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1907(1).jpg,data/00_raw_sources/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1907(1).jpg,copied,257409,c8a81cc71633044609bdc14580d3f5e7bd6b775c081da3d99caeaf6cd644af93,c8a81cc71633044609bdc14580d3f5e7bd6b775c081da3d99caeaf6cd644af93,ok,
data/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1907.jpg,data/00_raw_sources/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1907.jpg,copied,146515,6cf5b0732a3ddc700a4e3a166b56c9a1d5019fd751535730d01d860efc865419,6cf5b0732a3ddc700a4e3a166b56c9a1d5019fd751535730d01d860efc865419,ok,
data/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1908(1).jpg,data/00_raw_sources/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1908(1).jpg,copied,189495,692e421af3f5176904a3bfa25bd6987d9f3ff0e0887f4e8587117c7e959db5e5,692e421af3f5176904a3bfa25bd6987d9f3ff0e0887f4e8587117c7e959db5e5,ok,
data/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1908.jpg,data/00_raw_sources/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1908.jpg,copied,207878,b1e236c3ed77714ef53e097ad6a8ca1618e9e5ba95d3d872f6650587b2650078,b1e236c3ed77714ef53e097ad6a8ca1618e9e5ba95d3d872f6650587b2650078,ok,
data/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1910.jpg,data/00_raw_sources/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1910.jpg,copied,387420,ac3b2f01873a012596b6aa00e0651dadd766ab8f323424693c4ed506e0c9d895,ac3b2f01873a012596b6aa00e0651dadd766ab8f323424693c4ed506e0c9d895,ok,
data/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1911(1).jpg,data/00_raw_sources/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1911(1).jpg,copied,203130,1afe04b4daee4a131d074692113d39ad85ebd33fb904cf0e2722f63c16c4b7dc,1afe04b4daee4a131d074692113d39ad85ebd33fb904cf0e2722f63c16c4b7dc,ok,
data/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1911.jpg,data/00_raw_sources/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1911.jpg,copied,184806,e10ee5778b06e937db1d4e0b95706aa4316c61bc311b7036d6d9e1530a5564da,e10ee5778b06e937db1d4e0b95706aa4316c61bc311b7036d6d9e1530a5564da,ok,
data/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1912.jpg,data/00_raw_sources/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1912.jpg,copied,190275,8d0790eb517bf1fb6aa7dd665d38385bfc8dea7c1196e02a1ace4d4f2aa9e32d,8d0790eb517bf1fb6aa7dd665d38385bfc8dea7c1196e02a1ace4d4f2aa9e32d,ok,
data/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1913.jpg,data/00_raw_sources/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1913.jpg,copied,382198,32e04368151112049c8bd7769f72a458e1582ac2a949afc886008e3e55149daf,32e04368151112049c8bd7769f72a458e1582ac2a949afc886008e3e55149daf,ok,
data/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1914.jpg,data/00_raw_sources/manual_ham_drive/raw/drive_export/THESIS/PRECLEANED/Bernard - April 26 - 78 imgs/IMG_1914.jpg,copied,179142,5178cb253afed2efae6332fd0859cfaa051ce98144b6d8f7aaeff1667e4819e8,5178cb253afed2efae6332fd0859cfaa051ce98144b6d8f7aaeff1667e4819e8,ok,
