dataset_name,active_path,original_path,rows,ham_count,smishing_count,synthetic_ham_count,manual_ham_count,public_ham_count,public_smishing_count,purpose,status,notes
final_v3_research_synthetic_balanced_10544,data/05_final_datasets/active/final_v3_research_synthetic_balanced_10544.csv,data/final_dataset_build/final/dataset_v3_public_manual_research_synthetic_ham_balanced.csv,10544,5272,5272,1300,320,3652,5272,"Main expanded balanced thesis dataset with public, manual, and research-backed synthetic ham.",active_preferred,Use for expanded thesis experiments; synthetic rows are ham only.
baseline_v1_public_real_only_balanced_9908,data/05_final_datasets/active/baseline_v1_public_real_only_balanced_9908.csv,data/final_dataset_build/final/dataset_v1_public_real_only_balanced.csv,9908,4954,4954,0,0,4954,4954,Real-only public baseline.,active_baseline,Use for real-only comparison.
baseline_v2_public_manual_ham_balanced,data/05_final_datasets/active/baseline_v2_public_manual_ham_balanced.csv,data/final_dataset_build/final/dataset_v2_public_plus_manual_ham_balanced.csv,10544,5272,5272,0,320,4952,5272,Public data plus reviewed manual ham.,active_baseline,Use to isolate the effect of manual ham before synthetic augmentation.
public_master_campaign_family_filtered_10226,data/05_final_datasets/active/public_master_campaign_family_filtered_10226.csv,data/organized/campaign_family_quality/combined_public_thesis_sources_campaign_family_filtered.csv,10226,4954,5272,0,0,0,0,Best public master before manual and synthetic expansion.,active_reference,Use for public-source provenance and pre-expansion reference.
expert_review_packet_500_balanced_raw_complete,data/04_expert_review_iaa/active_packet/expert_review_packet_500_balanced_raw_complete.csv,data/expert_review_iaa/expert_spam_review_500_balanced_raw_complete.csv,500,1,0,0,0,0,0,Expert review / IAA packet.,active_preferred_packet,Rows are for expert review and are not yet part of the final dataset.
approved_manual_ham_cleaned_320,data/02_manual_ham/cleaned/approved_manual_ham_cleaned_320.csv,data/manual_ham_drive/final/approved_manual_ham_cleaned.csv,320,320,0,0,0,0,0,Reviewed and cleaned manual ham source.,active_source,Use as manual ham provenance source.
