model,split,seed,n_rows,accuracy,precision_smishing,recall_smishing,f1_smishing,macro_f1,weighted_f1,f1_ham,false_negative_rate,false_positive_rate,tn,fp,fn,tp
ablation_c_uniform_weights,test_clean,42,1582,0.9298356510745891,0.9347826086956522,0.9241466498103666,0.9294342021614749,0.9298333801505049,0.9298333801505049,0.9302325581395349,0.07585335018963338,0.06447534766118837,740,51,60,731
ablation_c_uniform_weights,test_adv_10,42,1582,0.9140328697850821,0.9326287978863936,0.8925410872313527,0.9121447028423773,0.9139931435003965,0.9139931435003965,0.9158415841584159,0.10745891276864729,0.06447534766118837,740,51,85,706
ablation_c_uniform_weights,test_adv_20,42,1582,0.9070796460176991,0.9316353887399463,0.8786346396965866,0.904359141184125,0.9070044015693213,0.9070044015693213,0.9096496619545175,0.1213653603034134,0.06447534766118837,740,51,96,695
ablation_c_uniform_weights,test_adv_30,42,1582,0.900126422250316,0.9306122448979591,0.8647281921618205,0.8964613368283093,0.9000011201846064,0.9000011201846065,0.9035409035409036,0.13527180783817952,0.06447534766118837,740,51,107,684
