epoch,train_loss,val_loss,accuracy,precision,recall,f1,fnr,fpr,tp,tn,fp,fn,support
1,0.3340422545547085,0.08108723909604715,0.9721871049304678,0.9831824062095731,0.9608091024020228,0.9718670076726342,0.039190897597977246,0.01643489254108723,760,778,13,31,1582
2,0.06376449881193448,0.0794506369608392,0.9804045512010113,0.9935064935064936,0.9671302149178256,0.9801409352978859,0.03286978508217446,0.006321112515802781,765,786,5,26,1582
3,0.030919376353299128,0.02623517641399701,0.993046776232617,0.9924242424242424,0.9936788874841972,0.9930511686670879,0.006321112515802781,0.007585335018963337,786,785,6,5,1582
4,0.012822169219560134,0.03393053000600945,0.993046776232617,0.9899497487437185,0.9962073324905183,0.9930686830497794,0.0037926675094816687,0.010113780025284451,788,783,8,3,1582
5,0.003235010946987242,0.04459358235098058,0.9905183312262958,0.9886649874055415,0.9924146649810367,0.9905362776025236,0.007585335018963337,0.011378002528445006,785,782,9,6,1582
6,0.0005513685485452217,0.051454475949849234,0.9917825537294563,0.9911616161616161,0.9924146649810367,0.9917877447883765,0.007585335018963337,0.008849557522123894,785,784,7,6,1582
