epoch,train_loss,val_loss,accuracy,precision,recall,f1,fnr,fpr,tp,tn,fp,fn,support
1,0.3367652316343009,0.04571607932165812,0.984197218710493,0.9910256410256411,0.97724399494311,0.9840865690642904,0.022756005056890013,0.008849557522123894,773,784,7,18,1582
2,0.06303451925700373,0.03904469248246491,0.988621997471555,0.988621997471555,0.988621997471555,0.988621997471555,0.011378002528445006,0.011378002528445006,782,782,9,9,1582
3,0.025751266731763242,0.047728886378943146,0.9898862199747156,0.9936305732484076,0.9860935524652339,0.9898477157360406,0.01390644753476612,0.006321112515802781,780,786,5,11,1582
4,0.012965770270788997,0.03541076437515847,0.993046776232617,0.9899497487437185,0.9962073324905183,0.9930686830497794,0.0037926675094816687,0.010113780025284451,788,783,8,3,1582
5,0.006950293003558118,0.0402209046579719,0.9924146649810367,0.9887076537013801,0.9962073324905183,0.9924433249370277,0.0037926675094816687,0.011378002528445006,788,782,9,3,1582
6,0.0034677494575362905,0.03878491612182687,0.9936788874841972,0.9924337957124842,0.9949431099873578,0.9936868686868686,0.0050568900126422255,0.007585335018963337,787,785,6,4,1582
7,0.0007347761232028577,0.0350990798204399,0.9949431099873578,0.9924528301886792,0.9974715549936789,0.9949558638083228,0.0025284450063211127,0.007585335018963337,789,785,6,2,1582
8,0.0008040056932956702,0.040234562261223614,0.9936788874841972,0.9924337957124842,0.9949431099873578,0.9936868686868686,0.0050568900126422255,0.007585335018963337,787,785,6,4,1582
9,0.00014471750561546076,0.03753933928181419,0.9936788874841972,0.9924337957124842,0.9949431099873578,0.9936868686868686,0.0050568900126422255,0.007585335018963337,787,785,6,4,1582
10,0.00010958343376654773,0.03766017958925507,0.9936788874841972,0.9924337957124842,0.9949431099873578,0.9936868686868686,0.0050568900126422255,0.007585335018963337,787,785,6,4,1582
