generation,best_fitness,threshold,fitness,weight_extremeness_penalty,mean_recall,min_recall,mean_f1,mean_fnr,max_fnr,mean_fpr,robustness_gap
1,0.7245704110890177,0.3,0.7245704110890177,0.21575933694839478,0.9734513274336284,0.9620733249051833,0.8886155792150108,0.02654867256637168,0.03792667509481669,0.21744627054361568,0.020227560050568916
2,0.7345493546164916,0.35,0.7345493546164916,0.11988174915313721,0.975031605562579,0.9608091024020228,0.9013689957043886,0.024968394437420986,0.039190897597977246,0.18836915297092288,0.02402022756005051
3,0.7345493546164916,0.35,0.7345493546164916,0.11988174915313721,0.975031605562579,0.9608091024020228,0.9013689957043886,0.024968394437420986,0.039190897597977246,0.18836915297092288,0.02402022756005051
4,0.7351592915261583,0.35,0.7351592915261583,0.091400146484375,0.97724399494311,0.9646017699115044,0.8951785730747929,0.022756005056890013,0.035398230088495575,0.20606826801517067,0.02149178255372952
5,0.7352299152400271,0.35,0.7352299152400271,0.1031809151172638,0.9756637168141593,0.9620733249051833,0.8995898362737014,0.024336283185840708,0.03792667509481669,0.1934260429835651,0.022756005056890016
6,0.7367959964219394,0.35,0.7367959964219394,0.0999777540564537,0.9753476611883691,0.9608091024020228,0.90417089482801,0.02465233881163085,0.039190897597977246,0.1820480404551201,0.02402022756005051
7,0.7367959964219394,0.35,0.7367959964219394,0.0999777540564537,0.9753476611883691,0.9608091024020228,0.90417089482801,0.02465233881163085,0.039190897597977246,0.1820480404551201,0.02402022756005051
8,0.7374505215076493,0.35,0.7374505215076493,0.09864604473114014,0.975031605562579,0.9608091024020228,0.9056039341831745,0.024968394437420986,0.039190897597977246,0.17825537294563842,0.022756005056890016
9,0.7374505215076493,0.35,0.7374505215076493,0.09864604473114014,0.975031605562579,0.9608091024020228,0.9056039341831745,0.024968394437420986,0.039190897597977246,0.17825537294563842,0.022756005056890016
10,0.7376982505450614,0.35,0.7376982505450614,0.09654679149389267,0.9753476611883691,0.9608091024020228,0.9057637664758831,0.02465233881163085,0.039190897597977246,0.17825537294563842,0.022756005056890016
11,0.7376982505450614,0.35,0.7376982505450614,0.09654679149389267,0.9753476611883691,0.9608091024020228,0.9057637664758831,0.02465233881163085,0.039190897597977246,0.17825537294563842,0.022756005056890016
12,0.7376982505450614,0.35,0.7376982505450614,0.09654679149389267,0.9753476611883691,0.9608091024020228,0.9057637664758831,0.02465233881163085,0.039190897597977246,0.17825537294563842,0.022756005056890016
13,0.7379096712226362,0.35,0.7379096712226362,0.09387605637311935,0.9750316055625791,0.9620733249051833,0.9050752126702991,0.024968394437420986,0.03792667509481669,0.179519595448799,0.02149178255372952
14,0.7380252355281065,0.35,0.7380252355281065,0.08552714437246323,0.9753476611883691,0.9620733249051833,0.9041742935636882,0.02465233881163085,0.03792667509481669,0.1820480404551201,0.02149178255372952
15,0.738596934234969,0.4,0.738596934234969,0.0864269882440567,0.9721871049304678,0.95448798988622,0.9138152649174585,0.02781289506953224,0.045512010113780026,0.1554993678887484,0.029077117572692823
16,0.7387159529029986,0.3,0.7387159529029986,0.06640157103538513,0.9743994943109988,0.9595448798988622,0.9063442936397872,0.025600505689001265,0.040455120101137804,0.17572692793931732,0.025284450063211117
17,0.7387159529029986,0.3,0.7387159529029986,0.06640157103538513,0.9743994943109988,0.9595448798988622,0.9063442936397872,0.025600505689001265,0.040455120101137804,0.17572692793931732,0.025284450063211117
18,0.7388309769933075,0.35,0.7388309769933075,0.093955859541893,0.9740834386852086,0.9582806573957017,0.9110040330661113,0.025916561314791402,0.041719342604298354,0.16434892541087232,0.025284450063211117
19,0.7388309769933075,0.35,0.7388309769933075,0.093955859541893,0.9740834386852086,0.9582806573957017,0.9110040330661113,0.025916561314791402,0.041719342604298354,0.16434892541087232,0.025284450063211117
