generation,best_fitness,threshold,fitness,weight_extremeness_penalty,mean_recall,min_recall,mean_f1,mean_fnr,max_fnr,mean_fpr,robustness_gap
1,0.7292356210809376,0.2,0.7292356210809376,0.18846315145492554,0.9740834386852086,0.9582806573957017,0.8998276186896923,0.025916561314791402,0.041719342604298354,0.19089759797724398,0.029077117572692712
2,0.7292356210809376,0.2,0.7292356210809376,0.18846315145492554,0.9740834386852086,0.9582806573957017,0.8998276186896923,0.025916561314791402,0.041719342604298354,0.19089759797724398,0.029077117572692712
3,0.7335359144617425,0.2,0.7335359144617425,0.15304207801818848,0.9731352718078382,0.9557522123893806,0.9083637695948485,0.026864728192161822,0.04424778761061947,0.16940581542351454,0.030341340075853318
4,0.7351944110308127,0.2,0.7351944110308127,0.07473385334014893,0.9769279393173198,0.9646017699115044,0.8934660894436405,0.023072060682680154,0.035398230088495575,0.20986093552465235,0.02149178255372952
5,0.7371512979803051,0.2,0.7371512979803051,0.06814946979284286,0.9740834386852086,0.9582806573957017,0.9040538905719686,0.025916561314791402,0.041719342604298354,0.18078381795195955,0.02654867256637161
6,0.7371512979803051,0.2,0.7371512979803051,0.06814946979284286,0.9740834386852086,0.9582806573957017,0.9040538905719686,0.025916561314791402,0.041719342604298354,0.18078381795195955,0.02654867256637161
7,0.7388265901927709,0.2,0.7388265901927709,0.06455722451210022,0.9712389380530974,0.9519595448798989,0.9144124360384966,0.028761061946902658,0.04804045512010114,0.1529709228824273,0.031605562579013924
8,0.7388265901927709,0.2,0.7388265901927709,0.06455722451210022,0.9712389380530974,0.9519595448798989,0.9144124360384966,0.028761061946902658,0.04804045512010114,0.1529709228824273,0.031605562579013924
9,0.7392592757082482,0.2,0.7392592757082482,0.04053936153650284,0.9747155499367889,0.9620733249051833,0.9022647232785211,0.025284450063211127,0.03792667509481669,0.18584070796460178,0.022756005056890016
10,0.7403149494744552,0.2,0.7403149494744552,0.04209952801465988,0.9737673830594185,0.9595448798988622,0.9076239417078549,0.026232616940581543,0.040455120101137804,0.17193426042983564,0.025284450063211117
11,0.7404210733093036,0.2,0.7404210733093036,0.0399770513176918,0.9737673830594185,0.9595448798988622,0.9076239417078549,0.026232616940581543,0.040455120101137804,0.17193426042983564,0.025284450063211117
12,0.7404210733093036,0.2,0.7404210733093036,0.0399770513176918,0.9737673830594185,0.9595448798988622,0.9076239417078549,0.026232616940581543,0.040455120101137804,0.17193426042983564,0.025284450063211117
