generation,best_fitness,threshold,fitness,weight_extremeness_penalty,mean_recall,min_recall,mean_f1,mean_fnr,max_fnr,mean_fpr,robustness_gap
1,0.7281430064441564,0.2,0.7281430064441564,0.12157902121543884,0.9677623261694058,0.943109987357775,0.905055071160549,0.032237673830594185,0.056890012642225034,0.1706700379266751,0.04045512010113783
2,0.731364746986359,0.2,0.731364746986359,0.16427886486053467,0.9775600505689002,0.9620733249051833,0.8968889337186857,0.022439949431099875,0.03792667509481669,0.202275600505689,0.025284450063211117
3,0.7335096982723772,0.25,0.7335096982723772,0.08655614405870438,0.9740834386852086,0.9570164348925411,0.8987756714326677,0.025916561314791402,0.04298356510745891,0.1934260429835651,0.029077117572692823
4,0.7348426423523925,0.25,0.7348426423523925,0.0701046735048294,0.9756637168141593,0.9620733249051833,0.8948932572181145,0.024336283185840708,0.03792667509481669,0.20480404551201012,0.024020227560050622
5,0.735431640317067,0.25,0.735431640317067,0.06289930641651154,0.9731352718078382,0.9557522123893806,0.9019768017681118,0.026864728192161822,0.04424778761061947,0.1845764854614412,0.029077117572692712
6,0.7362477059369482,0.2,0.7362477059369482,0.09322918951511383,0.9766118836915296,0.9608091024020228,0.901639906622203,0.02338811630847029,0.039190897597977246,0.18963337547408343,0.02654867256637161
7,0.7363669251438074,0.2,0.7363669251438074,0.0717051699757576,0.9769279393173198,0.9620733249051833,0.8981339117627178,0.023072060682680154,0.03792667509481669,0.19848293299620734,0.025284450063211117
8,0.7377293441715563,0.25,0.7377293441715563,0.03917945548892021,0.972503160556258,0.9557522123893806,0.9048396911263711,0.027496839443742097,0.04424778761061947,0.17699115044247787,0.027812895069532217
9,0.7390439338370042,0.25,0.7390439338370042,0.03571145609021187,0.9715549936788874,0.95448798988622,0.9091704161543961,0.028445006321112513,0.045512010113780026,0.16561314791403287,0.029077117572692823
10,0.7390439338370042,0.25,0.7390439338370042,0.03571145609021187,0.9715549936788874,0.95448798988622,0.9091704161543961,0.028445006321112513,0.045512010113780026,0.16561314791403287,0.029077117572692823
11,0.7390439338370042,0.25,0.7390439338370042,0.03571145609021187,0.9715549936788874,0.95448798988622,0.9091704161543961,0.028445006321112513,0.045512010113780026,0.16561314791403287,0.029077117572692823
12,0.7393243304182979,0.25,0.7393243304182979,0.030958794057369232,0.970606826801517,0.9506953223767383,0.9130002767207868,0.029393173198482933,0.0493046776232617,0.1554993678887484,0.03286978508217453
13,0.7397788676477924,0.25,0.7397788676477924,0.03900769352912903,0.9715549936788874,0.95448798988622,0.9113267534280692,0.028445006321112513,0.045512010113780026,0.16055625790139064,0.029077117572692823
14,0.7397788676477924,0.25,0.7397788676477924,0.03900769352912903,0.9715549936788874,0.95448798988622,0.9113267534280692,0.028445006321112513,0.045512010113780026,0.16055625790139064,0.029077117572692823
15,0.7407035930752506,0.25,0.7407035930752506,0.023431304842233658,0.9712389380530974,0.95448798988622,0.911707754863184,0.028761061946902658,0.045512010113780026,0.1592920353982301,0.027812895069532217
16,0.7407035930752506,0.25,0.7407035930752506,0.023431304842233658,0.9712389380530974,0.95448798988622,0.911707754863184,0.028761061946902658,0.045512010113780026,0.1592920353982301,0.027812895069532217
