seed,threshold,threshold_score,mean_recall,min_recall,mean_f1,mean_fnr,max_fnr,mean_fpr,robustness_gap
42,0.2,0.5755612146554789,0.9646017699115044,0.93173198482933,0.9180744836282602,0.035398230088495575,0.06826801517067003,0.13653603034134007,0.050568900126422234
42,0.25,0.5781594017415932,0.9557522123893805,0.911504424778761,0.9245948592291863,0.04424778761061947,0.08849557522123894,0.11125158027812895,0.06573957016434895
42,0.3,0.5763917298513741,0.9434260429835651,0.877370417193426,0.9276263619737654,0.05657395701643489,0.12262958280657396,0.0897597977243995,0.09734513274336287
42,0.35,0.5712207152631521,0.9304677623261695,0.8445006321112516,0.9262618232730843,0.0695322376738306,0.1554993678887484,0.07711757269279393,0.1251580278128951
42,0.4,0.5641965924122443,0.9143489254108723,0.7989886219974716,0.9240274682972196,0.08565107458912768,0.20101137800252844,0.061946902654867256,0.1656131479140328
42,0.45,0.5526029796690384,0.8950695322376738,0.7509481668773704,0.9167742709705954,0.10493046776232617,0.24905183312262957,0.05309734513274336,0.20859671302149174
42,0.5,0.540677881305425,0.8754740834386852,0.7130214917825537,0.9080773130308516,0.12452591656131479,0.28697850821744625,0.04677623261694058,0.23514538558786346
42,0.55,0.5306499796565475,0.8558786346396966,0.6788874841972187,0.9015500592679395,0.1441213653603034,0.3211125158027813,0.035398230088495575,0.2591656131479141
42,0.6,0.5171737078584763,0.8353350189633375,0.6485461441213654,0.8901820585734328,0.16466498103666247,0.35145385587863465,0.03286978508217446,0.2743362831858407
42,0.65,0.5048968244646616,0.8147914032869785,0.6131479140328698,0.8806154529584518,0.18520859671302148,0.3868520859671302,0.025284450063211124,0.2983565107458912
42,0.7,0.48693767099727614,0.7876106194690266,0.5625790139064475,0.8658757368930665,0.21238938053097345,0.43742098609355246,0.017699115044247787,0.34007585335018964
42,0.75,0.46370669087706484,0.7544247787610618,0.5018963337547409,0.8448780656809042,0.24557522123893805,0.49810366624525915,0.012642225031605562,0.37926675094816686
42,0.8,0.43138325709273334,0.7079646017699115,0.438685208596713,0.8144271495768542,0.2920353982300885,0.561314791403287,0.006321112515802781,0.4197218710493047
7,0.2,0.5772885595041406,0.9598609355246523,0.9178255372945638,0.9222421909618033,0.040139064475347666,0.08217446270543616,0.1213653603034134,0.06321112515802785
7,0.25,0.577702494014213,0.949747155499368,0.8963337547408344,0.9264951156411144,0.05025284450063211,0.10366624525916561,0.09987357774968394,0.07964601769911495
7,0.3,0.5750869977758832,0.9374209860935525,0.8609355246523388,0.9283684856085372,0.06257901390644754,0.1390644753476612,0.08091024020227561,0.10998735777496838
7,0.35,0.5685063825837766,0.9235145385587864,0.8255372945638433,0.9258210172431542,0.07648546144121365,0.17446270543615677,0.0695322376738306,0.1441213653603034
7,0.4,0.5565429119060752,0.9039190897597977,0.7711757269279393,0.9184592498381996,0.09608091024020227,0.22882427307206069,0.0606826801517067,0.19089759797724393
7,0.45,0.5450852052878159,0.8827433628318584,0.729456384323641,0.9113234509036032,0.1172566371681416,0.27054361567635904,0.0493046776232617,0.22503160556257895
7,0.5,0.5350007214032104,0.8631479140328697,0.6915297092288243,0.9048151368247768,0.13685208596713022,0.3084702907711757,0.03792667509481669,0.2503160556257902
7,0.55,0.5242368696186905,0.845132743362832,0.6662452591656132,0.8963206207996539,0.15486725663716813,0.33375474083438683,0.03286978508217446,0.2642225031605563
7,0.6,0.5105469962989793,0.8245891276864727,0.6283185840707964,0.8850647429022669,0.1754108723135272,0.37168141592920356,0.029077117572692796,0.2895069532237674
7,0.65,0.49734632349046226,0.802465233881163,0.5967130214917825,0.8745293186958849,0.1975347661188369,0.40328697850821743,0.021491782553729456,0.3109987357774969
7,0.7,0.47871243050115203,0.7749683944374209,0.5372945638432364,0.8588099423023705,0.225031605562579,0.46270543615676357,0.01390644753476612,0.35651074589127685
7,0.75,0.4527071791406576,0.7383059418457648,0.47661188369152974,0.8350781242559517,0.2616940581542352,0.5233881163084703,0.008849557522123894,0.4007585335018963
7,0.8,0.41588046414036917,0.6871049304677623,0.4083438685208597,0.7985784617483548,0.31289506953223767,0.5916561314791403,0.006321112515802781,0.4310998735777497
123,0.2,0.574101108160802,0.9601769911504425,0.9216182048040455,0.9179663231179135,0.03982300884955753,0.07838179519595449,0.13147914032869784,0.05941845764854614
123,0.25,0.5773825642517448,0.950063211125158,0.8950695322376738,0.9260776894460186,0.04993678887484197,0.10493046776232617,0.1011378002528445,0.08091024020227555
