weight_source,threshold,threshold_score,mean_recall,min_recall,mean_f1,mean_fnr,max_fnr,mean_fpr,robustness_gap
best_seed_weights,0.2,0.565210668884799,0.9740834386852085,0.9608091024020228,0.9014146255657434,0.025916561314791406,0.039190897597977246,0.18710493046776233,0.02402022756005051
best_seed_weights,0.25,0.5805113805655857,0.9709228824273072,0.9519595448798989,0.9213816219157602,0.029077117572692796,0.04804045512010114,0.13653603034134007,0.031605562579013924
best_seed_weights,0.3,0.5807624509367258,0.9627054361567636,0.9304677623261695,0.9248983156617308,0.037294563843236414,0.0695322376738306,0.11883691529709228,0.04804045512010113
best_seed_weights,0.35,0.5828552009444075,0.9548040455120101,0.9089759797724399,0.9309227522016481,0.04519595448798989,0.09102402022756005,0.09608091024020228,0.06826801517067005
best_seed_weights,0.4,0.5767199966631117,0.9431099873577751,0.8824273072060683,0.9275257986654193,0.05689001264222503,0.11757269279393173,0.0897597977243995,0.08723135271807836
best_seed_weights,0.45,0.5747151330788807,0.9342604298356512,0.8609355246523388,0.9284799359414655,0.06573957016434892,0.1390644753476612,0.07711757269279393,0.10493046776232617
best_seed_weights,0.5,0.5689589135123736,0.920670037926675,0.8343868520859671,0.9262560974834295,0.0793299620733249,0.16561314791403287,0.06573957016434892,0.1276864728192162
best_seed_weights,0.55,0.562807054607388,0.9070796460176991,0.8015170670037927,0.9238048769891416,0.09292035398230089,0.19848293299620734,0.05436156763590392,0.156763590391909
best_seed_weights,0.6,0.5532202684533278,0.8900126422250316,0.7635903919089759,0.917996143567211,0.1099873577749684,0.23640960809102401,0.045512010113780026,0.18963337547408354
best_seed_weights,0.65,0.5425329968534753,0.8707332490518331,0.7206068268015171,0.9111652537876072,0.12926675094816686,0.27939317319848295,0.035398230088495575,0.22250316055625785
best_seed_weights,0.7,0.5299050327687438,0.849873577749684,0.6864728192161821,0.9015437273616629,0.15012642225031606,0.31352718078381797,0.029077117572692796,0.24525916561314787
best_seed_weights,0.75,0.5133678716252079,0.8268015170670038,0.6434892541087232,0.8875708378383222,0.1731984829329962,0.35651074589127685,0.02781289506953224,0.2756005056890013
best_seed_weights,0.8,0.49375495485448295,0.7948798988621998,0.595448798988622,0.8713117908249814,0.20512010113780024,0.404551201011378,0.018963337547408345,0.3021491782553729
average_seed_weights,0.2,0.5644706104673683,0.9743994943109988,0.9595448798988622,0.9005192446439896,0.025600505689001265,0.040455120101137804,0.18963337547408343,0.025284450063211117
average_seed_weights,0.25,0.5752705795407624,0.9699747155499368,0.9481668773704172,0.9153929146351563,0.030025284450063208,0.051833122629582805,0.14917825537294563,0.03539823008849563
average_seed_weights,0.3,0.5783890294873559,0.9627054361567635,0.9292035398230089,0.9220903822448928,0.037294563843236414,0.07079646017699115,0.12515802781289506,0.050568900126422234
average_seed_weights,0.35,0.5819026309072152,0.9557522123893806,0.9127686472819216,0.929149290401326,0.04424778761061947,0.08723135271807839,0.1011378002528445,0.06321112515802774
average_seed_weights,0.4,0.5782531511248786,0.9450063211125158,0.8849557522123894,0.9291068901563269,0.0549936788874842,0.11504424778761062,0.08849557522123894,0.08975979772439946
average_seed_weights,0.45,0.574997233979233,0.9348925410872313,0.865992414664981,0.9282926208328454,0.06510745891276865,0.13400758533501897,0.07838179519595449,0.09860935524652337
average_seed_weights,0.5,0.5680347045385794,0.9206700379266751,0.8331226295828066,0.9250603261333441,0.0793299620733249,0.16687737041719342,0.06826801517067003,0.1276864728192162
average_seed_weights,0.55,0.5617198235104407,0.9067635903919089,0.7951959544879899,0.9229108918069662,0.09323640960809101,0.20480404551201012,0.05562579013906448,0.16434892541087232
average_seed_weights,0.6,0.5520687017595197,0.888432364096081,0.7522123893805309,0.917460152038216,0.11156763590391909,0.24778761061946902,0.04424778761061947,0.19974715549936795
average_seed_weights,0.65,0.5411724144701019,0.8704171934260431,0.7168141592920354,0.9096708681446652,0.12958280657395702,0.2831858407079646,0.03792667509481669,0.22629582806573956
average_seed_weights,0.7,0.5278614603505467,0.8492414664981037,0.6814159292035398,0.8992267117113326,0.15075853350189633,0.3185840707964602,0.03286978508217446,0.24905183312262968
average_seed_weights,0.75,0.5136986329970764,0.8274336283185841,0.6371681415929203,0.8882449655072691,0.17256637168141592,0.36283185840707965,0.02654867256637168,0.2844500632111252
average_seed_weights,0.8,0.49373289500111306,0.79551201011378,0.584070796460177,0.871700270709339,0.20448798988621997,0.415929203539823,0.017699115044247787,0.316055625790139
