model_key,display_name,split,split_label,source_file,num_seeds,accuracy,accuracy_std,precision_smishing,precision_smishing_std,recall_smishing,recall_smishing_std,f1_smishing,f1_smishing_std,false_negative_rate,false_negative_rate_std,false_positive_rate,false_positive_rate_std,tp,tp_std,tn,tn_std,fp,fp_std,fn,fn_std,model_order,split_order
distilbert_ablation_b,Ablation B (DistilBERT + augmentation),test_adv_20,adv20,results\metrics\distilbert_ablation_b\distilbert_ablation_b_metrics_mean_std.csv,3,0.9892541087231352,0.0006321112515802,0.983357489005094,0.0030559741204502,0.9953645174884111,0.0019311317719999,0.9893203780174296,0.0006013331085259,0.0046354825115887,0.0019311317719999,0.0168563000421407,0.0031815568627352,,,,,,,,,3,2
distilbert_ablation_b,Ablation B (DistilBERT + augmentation),test_adv_30,adv30,results\metrics\distilbert_ablation_b\distilbert_ablation_b_metrics_mean_std.csv,3,0.9900969237252424,0.0007298992025153,0.9833849819708602,0.0030535921830243,0.9970501474926252,0.0019311317719999,0.9901663151789002,0.0007026842618713,0.0029498525073746,0.0019311317719999,0.0168563000421407,0.0031815568627352,,,,,,,,,3,3
ablation_c,Ablation C (Frozen DistilBERT + uniform),test_clean,clean,results\metrics\ablation_c\ablation_c_metrics.csv,1,0.943109987357775,0.0,0.9419924337957124,0.0,0.9443742098609356,0.0,0.9431818181818182,0.0,0.0556257901390644,0.0,0.0581542351453855,0.0,747.0,0.0,745.0,0.0,46.0,0.0,44.0,0.0,4,0
ablation_c,Ablation C (Frozen DistilBERT + uniform),test_adv_10,adv10,results\metrics\ablation_c\ablation_c_metrics.csv,1,0.9304677623261696,0.0,0.9404915912031048,0.0,0.9190897597977244,0.0,0.9296675191815856,0.0,0.0809102402022756,0.0,0.0581542351453855,0.0,727.0,0.0,745.0,0.0,46.0,0.0,64.0,0.0,4,1
ablation_c,Ablation C (Frozen DistilBERT + uniform),test_adv_20,adv20,results\metrics\ablation_c\ablation_c_metrics.csv,1,0.9241466498103666,0.0,0.9397116644823068,0.0,0.9064475347661188,0.0,0.9227799227799228,0.0,0.0935524652338811,0.0,0.0581542351453855,0.0,717.0,0.0,745.0,0.0,46.0,0.0,74.0,0.0,4,2
ablation_c,Ablation C (Frozen DistilBERT + uniform),test_adv_30,adv30,results\metrics\ablation_c\ablation_c_metrics.csv,1,0.9064475347661188,0.0,0.9374149659863944,0.0,0.8710493046776233,0.0,0.9030144167758848,0.0,0.1289506953223767,0.0,0.0581542351453855,0.0,689.0,0.0,745.0,0.0,46.0,0.0,102.0,0.0,4,3
ablation_d,Ablation D (Frozen DistilBERT + random),test_clean,clean,results\metrics\ablation_d\ablation_d_metrics_mean_std.csv,3,0.9420564686051413,0.0003649496012576,0.9467654878138172,0.0013363159290442,0.9367888748419722,0.0012642225031606,0.941749650928274,0.0003535281580167,0.0632111251580278,0.0012642225031605,0.0526759376316898,0.0014597984050306,,,,,,,,,5,0
ablation_d,Ablation D (Frozen DistilBERT + random),test_adv_10,adv10,results\metrics\ablation_d\ablation_d_metrics_mean_std.csv,3,0.9346818373367046,0.0034813973118116,0.9459631174149722,0.0010278895067859,0.922039612305099,0.008225546268834,0.9338332702672124,0.0038413249111277,0.0779603876949009,0.008225546268834,0.0526759376316898,0.0014597984050306,,,,,,,,,5,1
ablation_d,Ablation D (Frozen DistilBERT + random),test_adv_20,adv20,results\metrics\ablation_d\ablation_d_metrics_mean_std.csv,3,0.9235145385587864,0.0021896976075459,0.9446940919201646,0.0012509264041566,0.8997050147492626,0.0052633780011786,0.9216440055219748,0.0024836551257991,0.1002949852507374,0.0052633780011785,0.0526759376316898,0.0014597984050306,,,,,,,,,5,2
ablation_d,Ablation D (Frozen DistilBERT + random),test_adv_30,adv30,results\metrics\ablation_d\ablation_d_metrics_mean_std.csv,3,0.9085545722713864,0.0019311317719999,0.942901149296576,0.001226231238386,0.8697850821744627,0.0050568900126422,0.904861364274621,0.0023121305736311,0.1302149178255373,0.0050568900126422,0.0526759376316898,0.0014597984050306,,,,,,,,,5,3
proposed_ga_v3,Proposed Model (GA-optimized fusion),test_clean,clean,results\metrics\proposed_ga_v3\proposed_ga_v3_metrics_mean_std.csv,3,0.928360724820902,0.0030241677400773,0.8843521173441117,0.0055833151593348,0.9856721449641804,0.0011919204065512,0.932254182835151,0.0025848044208764,0.0143278550358196,0.0011919204065512,0.1289506953223767,0.0072256334595374,779.6666666666666,0.9428090415820634,689.0,5.715476066494082,102.0,5.715476066494082,11.333333333333334,0.9428090415820634,6,0
proposed_ga_v3,Proposed Model (GA-optimized fusion),test_adv_10,adv10,results\metrics\proposed_ga_v3\proposed_ga_v3_metrics_mean_std.csv,3,0.9249894648124736,0.0024390722509039,0.8836533694287011,0.0054847796221994,0.978929624947324,0.0023838408131025,0.9288374407004572,0.0019871531119538,0.0210703750526759,0.0023838408131025,0.1289506953223767,0.0072256334595374,774.3333333333334,1.8856180831641267,689.0,5.715476066494082,102.0,5.715476066494082,16.666666666666668,1.8856180831641267,6,1
proposed_ga_v3,Proposed Model (GA-optimized fusion),test_adv_20,adv20,results\metrics\proposed_ga_v3\proposed_ga_v3_metrics_mean_std.csv,3,0.911504424778761,0.0022497004323706,0.8807528990994644,0.0055539933100078,0.9519595448798988,0.0027310327426919,0.91495368463178,0.0017502924114018,0.0480404551201011,0.0027310327426918,0.1289506953223767,0.0072256334595374,753.0,2.160246899469287,689.0,5.715476066494082,102.0,5.715476066494082,38.0,2.160246899469287,6,2
proposed_ga_v3,Proposed Model (GA-optimized fusion),test_adv_30,adv30,results\metrics\proposed_ga_v3\proposed_ga_v3_metrics_mean_std.csv,3,0.913400758533502,0.0027310327426919,0.8811656885315654,0.0056456921096755,0.9557522123893806,0.0017878806098269,0.9169290480424608,0.0022566855523259,0.0442477876106194,0.0017878806098269,0.1289506953223767,0.0072256334595374,756.0,1.4142135623730951,689.0,5.715476066494082,102.0,5.715476066494082,35.0,1.4142135623730951,6,3
